,sender,receiver,relevanceScore
1663,62,103,14
1664,62,116,34
1665,111,144,89
1666,111,155,43
1667,111,219,46
1668,111,230,35
1669,111,237,29
1670,111,265,15
1671,111,274,73
1672,159,10,18
1673,159,54,39
1674,159,66,66
1675,159,76,57
1676,159,124,83
1677,31,168,57
1678,31,203,68
1679,120,3,37
1680,120,61,62
1681,120,64,10
1682,120,66,50
1683,120,141,66
1684,120,165,74
1685,120,224,92
1686,120,228,61
1687,120,232,85
1688,120,239,59
1689,120,262,100
1690,120,278,4
1691,120,285,52
1692,120,301,13
1693,120,306,73
1694,95,38,91
1695,95,83,42
1696,95,98,94
1697,95,103,63
1698,95,138,58
1699,95,146,38
1700,95,189,16
1701,95,199,7
1702,95,263,53
1703,95,272,73
1704,66,110,24
1705,66,165,99
1706,66,224,2
1707,66,228,7
1708,66,232,99
1709,4,34,99
1710,4,44,35
1711,4,60,72
1712,4,85,8
1713,4,107,89
1714,4,116,34
1715,4,145,89
1716,4,321,93
1717,42,135,22
1718,42,155,5
1719,42,191,3
1720,42,219,19
1721,42,225,75
1722,42,230,79
1723,42,237,26
1724,42,242,92
1725,42,244,13
1726,42,272,8
1727,42,274,8
1728,42,283,2
1729,42,315,10
1730,228,141,97
1731,228,165,45
1732,228,224,74
1733,228,232,93
1734,228,239,88
1735,228,306,78
1736,228,307,100
1737,228,324,62
1738,156,10,31
1739,156,67,28
1740,108,110,21
1741,108,138,31
1742,108,175,29
1743,108,199,78
1744,108,243,51
1745,108,252,48
1746,108,253,16
1747,108,299,12
1748,108,330,42
1749,11,3,94
1750,11,61,64
1751,11,262,45
1752,11,294,96
1753,11,301,88
1754,168,58,29
1755,168,173,31
1756,168,236,79
1757,155,46,68
1758,155,144,1
1759,155,237,24
1760,155,256,1
1761,155,265,56
1762,141,232,19
1763,141,294,27
1764,141,300,68
1765,141,307,66
1766,81,37,14
1767,81,114,39
1768,81,198,44
1769,81,214,80
1770,81,244,80
1771,81,272,41
1772,81,277,9
1773,191,29,28
1774,191,255,93
1775,191,313,51
1776,64,165,71
1777,64,232,73
1778,64,306,67
1779,102,46,75
1780,102,138,7
1781,50,10,43
1782,50,72,33
1783,50,109,4
1784,50,124,45
1785,50,272,11
1786,50,291,30
1787,50,310,58
1788,50,318,68
1789,50,327,77
1790,107,85,59
1791,107,116,66
1792,107,145,10
1793,103,125,15
1794,103,189,8
1795,103,271,46
1796,103,295,69
1797,76,169,65
1798,138,110,27
1799,138,166,70
1800,138,211,77
1801,138,252,60
1802,138,253,8
1803,138,330,62
1804,300,165,2
1805,300,224,15
1806,300,232,79
1807,300,325,45
1808,236,58,50
1809,236,77,10
1810,236,137,100
1811,236,173,35
1812,236,179,99
1813,236,188,49
1814,236,220,88
1815,236,227,4
1816,239,224,43
1817,239,294,58
1818,239,324,52
1819,315,46,82
1820,315,83,22
1821,315,144,5
1822,315,145,10
1823,315,230,19
1824,315,256,100
1825,315,265,57
1826,315,272,25
1827,315,274,73
1828,222,40,33
1829,222,88,97
1830,222,200,50
1831,222,205,62
1832,222,263,18
1833,222,272,18
1834,222,298,31
1835,244,28,46
1836,244,123,100
1837,244,132,85
1838,244,194,97
1839,244,303,46
1840,244,329,62
1841,219,104,18
1842,219,135,76
1843,219,175,34
1844,219,213,58
1845,219,230,27
1846,219,242,21
1847,219,263,79
1848,219,265,26
1849,219,274,49
1850,219,281,55
1851,188,137,26
1852,188,179,85
1853,188,227,6
1854,188,240,58
1855,188,242,44
1856,199,27,14
1857,199,38,29
1858,199,72,11
1859,199,85,84
1860,199,86,20
1861,199,110,96
1862,199,125,18
1863,199,211,57
1864,199,329,9
1865,92,40,82
1866,92,54,16
1867,92,88,46
1868,92,160,27
1869,92,205,96
1870,92,235,59
1871,92,279,10
1872,92,298,80
1873,92,316,8
1874,55,195,11
1875,55,264,63
1876,165,232,9
1877,165,294,84
1878,54,72,66
1879,54,80,38
1880,54,88,100
1881,54,298,48
1882,125,38,87
1883,125,146,37
1884,125,166,18
1885,125,250,47
1886,125,263,21
1887,125,295,30
1888,83,38,74
1889,83,40,77
1890,83,79,22
1891,83,211,40
1892,83,263,77
1893,80,88,31
1894,80,89,16
1895,80,205,4
1896,80,316,11
1897,124,1,84
1898,124,10,32
1899,124,109,6
1900,124,208,19
1901,124,272,35
1902,278,3,57
1903,278,61,17
1904,278,254,85
1905,278,262,96
1906,278,322,1
1907,278,323,41
1908,213,104,11
1909,213,135,9
1910,213,267,18
1911,148,176,55
1912,148,198,23
1913,38,10,64
1914,38,40,2
1915,38,46,78
1916,38,72,58
1917,38,98,44
1918,38,109,46
1919,38,145,59
1920,38,263,52
1921,38,272,9
1922,38,279,55
1923,38,316,32
1924,144,256,34
1925,144,281,90
1926,166,110,67
1927,166,134,81
1928,166,146,21
1929,166,263,44
1930,58,137,39
1931,58,173,89
1932,58,220,62
1933,58,227,64
1934,58,240,9
1935,205,40,60
1936,205,198,98
1937,290,223,53
1938,290,234,9
1939,290,292,94
1940,290,297,99
1941,61,3,86
1942,61,294,43
1943,193,3,7
1944,193,232,32
1945,193,268,20
1946,193,309,64
1947,72,109,60
1948,72,119,63
1949,72,190,96
1950,72,208,61
1951,72,271,78
1952,72,312,69
1953,72,321,23
1954,60,44,94
1955,60,71,59
1956,60,126,88
1957,60,172,60
1958,34,112,74
1959,34,114,83
1960,34,194,5
1961,34,211,53
1962,10,109,39
1963,10,169,94
1964,10,272,38
1965,10,275,14
1966,10,312,19
1967,10,321,60
1968,10,332,87
1969,279,112,70
1970,279,198,35
1971,46,67,73
1972,46,97,2
1973,46,109,99
1974,46,263,6
1975,46,283,13
1976,46,318,13
1977,46,321,13
1978,137,44,82
1979,137,77,35
1980,137,173,71
1981,294,224,71
1982,294,262,97
1983,294,301,21
1984,294,306,73
1985,323,167,30
1986,323,195,74
1987,323,292,96
1988,323,293,59
1989,323,322,18
1990,304,257,23
1991,232,203,96
1992,232,224,63
1993,232,307,34
1994,73,85,11
1995,176,1,54
1996,176,104,81
1997,176,198,26
1998,176,242,15
1999,176,287,22
2000,276,29,98
2001,276,255,7
2002,276,309,10
2003,276,313,48
2004,86,318,30
2005,265,104,3
2006,265,135,19
2007,265,200,77
2008,265,230,37
2009,265,237,87
2010,265,263,68
2011,265,281,29
2012,265,312,87
2013,237,200,52
2014,237,230,75
2015,237,263,6
2016,237,274,94
2017,223,131,63
2018,223,167,48
2019,223,234,52
2020,223,302,35
2021,223,314,62
2022,271,140,62
2023,195,264,70
2024,195,293,75
2025,195,322,40
2026,117,197,28
2027,44,126,37
2028,88,40,40
2029,88,89,73
2030,88,160,88
2031,88,235,60
2032,88,298,53
2033,88,316,37
2034,208,109,94
2035,208,272,44
2036,208,318,9
2037,146,110,63
2038,146,135,23
2039,146,211,20
2040,146,250,100
2041,146,263,91
2042,104,12,62
2043,104,106,5
2044,104,112,60
2045,104,135,15
2046,104,242,11
2047,230,200,2
2048,230,256,56
2049,1,41,13
2050,1,198,89
2051,145,85,1
2052,145,189,76
2053,145,211,55
2054,145,263,61
2055,71,37,67
2056,71,316,10
2057,129,183,68
2058,283,67,14
2059,200,256,69
2060,200,274,45
2061,221,303,27
2062,256,274,20
2063,256,281,95
2064,29,7,82
2065,29,255,53
2066,29,277,46
2067,29,309,38
2068,29,320,99
2069,29,326,42
2070,306,325,65
2071,254,3,29
2072,254,264,69
2073,254,301,21
2074,77,203,59
2075,77,240,69
2076,77,287,1
2077,109,263,64
2078,109,291,82
2079,109,321,94
2080,109,327,21
2081,109,332,97
2082,263,40,73
2083,263,79,29
2084,263,98,17
2085,263,134,88
2086,263,135,54
2087,263,189,53
2088,263,211,33
2089,263,252,48
2090,263,272,23
2091,263,295,13
2092,263,321,77
2093,263,330,63
2094,264,293,53
2095,28,163,19
2096,28,303,81
2097,28,326,33
2098,212,152,57
2099,212,258,99
2100,212,282,76
2101,40,298,69
2102,85,272,29
2103,85,277,87
2104,85,321,29
2105,114,37,46
2106,114,245,49
2107,282,152,8
2108,302,167,28
2109,24,133,55
2110,24,170,83
2111,224,325,90
2112,134,250,69
2113,211,79,6
2114,211,189,88
2115,211,250,45
2116,211,252,66
2117,211,295,26
2118,211,321,29
2119,211,329,26
2120,133,57,1
2121,133,119,77
2122,133,210,23
2123,5,130,17
2124,313,255,34
2125,313,309,28
2126,214,329,21
2127,135,12,33
2128,135,112,85
2129,135,242,100
2130,135,251,6
2131,160,89,39
2132,160,235,18
2133,41,194,79
2134,12,242,95
2135,12,251,62
2136,175,110,27
2137,175,253,41
2138,175,281,5
2139,175,330,59
2140,163,326,35
2141,3,152,87
2142,3,194,87
2143,3,262,22
2144,3,289,56
2145,250,295,90
